Year,Region,Value
2010,Asturias,1.40941508295077
2011,Asturias,1.41559974659121
2012,Asturias,1.42809254923668
2013,Asturias,1.42511113884578
2014,Asturias,1.42523976888988
2015,Asturias,1.42811511991659
2016,Asturias,1.43688288457627
2017,Asturias,1.44816851165364
2018,Asturias,1.45316527510685
2019,Asturias,1.46180994319188
2020,Asturias,1.45695647326238
2021,Asturias,1.47826400368759
2010,España,1.34
2011,España,1.34
2012,España,1.36
2013,España,1.36
2014,España,1.36
2015,España,1.37
2016,España,1.37
2017,España,1.39
2018,España,1.39
2019,España,1.4
2020,España,1.4
2021,España,1.41
