Year,Region,Sex,Value
2010,Asturias,,1.21
2011,Asturias,,0.74
2012,Asturias,,0.56
2013,Asturias,,0.0
2014,Asturias,,0.28
2015,Asturias,,0.48
2016,Asturias,,0.39
2017,Asturias,,0.78
2018,Asturias,,0.29
2019,Asturias,,0.1
2020,Asturias,,0.2
2021,Asturias,,0.4
2022,Asturias,,1.59
2023,Asturias,,1.39
2010,Asturias,Hombre,1.35
2011,Asturias,Hombre,0.97
2012,Asturias,Hombre,0.39
2013,Asturias,Hombre,0.0
2014,Asturias,Hombre,0.0
2015,Asturias,Hombre,0.8
2016,Asturias,Hombre,0.61
2017,Asturias,Hombre,1.02
2018,Asturias,Hombre,0.61
2019,Asturias,Hombre,0.0
2020,Asturias,Hombre,0.0
2021,Asturias,Hombre,0.21
2022,Asturias,Hombre,2.5
2023,Asturias,Hombre,2.08
2010,Asturias,Mujer,1.07
2011,Asturias,Mujer,0.54
2012,Asturias,Mujer,0.72
2013,Asturias,Mujer,0.0
2014,Asturias,Mujer,0.55
2015,Asturias,Mujer,0.18
2016,Asturias,Mujer,0.18
2017,Asturias,Mujer,0.56
2018,Asturias,Mujer,0.0
2019,Asturias,Mujer,0.19
2020,Asturias,Mujer,0.38
2021,Asturias,Mujer,0.57
2022,Asturias,Mujer,0.76
2023,Asturias,Mujer,0.76
2010,España,,1.61
2011,España,,1.44
2012,España,,1.15
2013,España,,1.4
2014,España,,1.4
2015,España,,1.19
2016,España,,1.1
2017,España,,0.98
2018,España,,0.69
2019,España,,0.64
2020,España,,0.51
2021,España,,0.51
2022,España,,0.59
2023,España,,0.68
2010,España,Hombre,2.42
2011,España,Hombre,2.03
2012,España,Hombre,1.67
2013,España,Hombre,2.06
2014,España,Hombre,2.07
2015,España,Hombre,1.74
2016,España,Hombre,1.71
2017,España,Hombre,1.54
2018,España,Hombre,1.04
2019,España,Hombre,0.95
2020,España,Hombre,0.74
2021,España,Hombre,0.74
2022,España,Hombre,0.91
2023,España,Hombre,1.03
2010,España,Mujer,0.82
2011,España,Mujer,0.86
2012,España,Mujer,0.65
2013,España,Mujer,0.77
2014,España,Mujer,0.75
2015,España,Mujer,0.65
2016,España,Mujer,0.52
2017,España,Mujer,0.45
2018,España,Mujer,0.36
2019,España,Mujer,0.35
2020,España,Mujer,0.28
2021,España,Mujer,0.3
2022,España,Mujer,0.29
2023,España,Mujer,0.34
