Year,Región,Value
2010,Asturias,1.4370357039939
2011,Asturias,1.43775155108185
2012,Asturias,1.4648490418504
2013,Asturias,1.45364136087067
2014,Asturias,1.42380042605261
2015,Asturias,1.45052351873692
2016,Asturias,1.4751059246613
2017,Asturias,1.46630354175893
2018,Asturias,1.47695757559624
2019,Asturias,1.47331193969031
2020,Asturias,1.47028374228077
2021,Asturias,1.48250077068924
2010,España,1.45
2011,España,1.46
2012,España,1.45
2013,España,1.44
2014,España,1.44
2015,España,1.44
2016,España,1.45
2017,España,1.45
2018,España,1.45
2019,España,1.46
2020,España,1.46
2021,España,1.45
