Year,Región,Value
2010,Asturias,0.89
2011,Asturias,0.9
2012,Asturias,0.91
2013,Asturias,0.95
2014,Asturias,0.95
2015,Asturias,0.95
2016,Asturias,0.95
2017,Asturias,0.96
2018,Asturias,0.95
2019,Asturias,0.94
2020,Asturias,0.94
2021,Asturias,0.97
2022,Asturias,0.96
2010,España,0.86
2011,España,0.87
2012,España,0.92
2013,España,0.92
2014,España,0.93
2015,España,0.93
2016,España,0.94
2017,España,0.94
2018,España,0.95
2019,España,0.96
2020,España,0.96
2021,España,0.97
2022,España,0.97
2023,España,0.97
